English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
a Capella,n,singing less a tool of gleemaking,"mouthglee, mouthly",mouthglee, mouthly,,,,,,,,,,,,,,,,,,,,,,,,
aardvark,n,"ant bear, ant-bear, antbear","earthpig, earthswine, earthfarrow",earthpig, earthswine, earthfarrow,,,,,,,,,,,,,,,,,,,,,,,
abandon,n,"wantonness, recklessness",overgive,overgive,,,,,,,,,,,,,,,,,,,,,,,,,
abandonment,n,forsaking,shedding,shedding,,,,,,,,,,,,,,,,,,,,,,,,,
abase,vb,"cheapen, warp; shame, sink, belittle","unar, anether",unar, anether,,,,,,,,,,,,,,,,,,,,,,,,
abash,vb,"faze, ashame",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abate,vb,"drain away, drop off, dwindle, ease, ebb, fall away, lessen, let up, lower, shrink, wane",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abattoir,n,slaughterhouse,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abbess,n,mother,overmother,overmother,,,,,,,,,,,,,,,,,,,,,,,,,
abbreviation,n,"short for, shorthand","offshortening, forshortening, shortening",offshortening, forshortening, shortening,,,,,,,,,,,,,,,,,,,,,,,
abdicate,vb,"step down, step aside from",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abdomen,n,,"kite, quith (<OE cwiþ) riff (<OE hrif)\nbouk (Eng., calque of all Ger. speeches)",kite, quith ,<OE cwiþ) riff ,<OE hrif)\nbouk ,Eng., calque of all Ger. speeches),,,,,,,,,,,,,,,,,,,,
abduct,vb,"kidnap, steal, lead away, offlead, nab",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
aberrant,n,black-sheep,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
aberration,n,"freak, way-outness",unfollowing,unfollowing,,,,,,,,,,,,,,,,,,,,,,,,,
abet,vb,"goad, spur, hearten",fuse (<ME fusen),fuse ,<ME fusen),,,,,,,,,,,,,,,,,,,,,,,,
abhor,vb,"hate, loathe, mislike",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ability,n,"skill, might, craft, knackin-born: mother-wit",formay (cf. Du. vermogen),formay ,cf. Du. vermogen),,,,,,,,,,,,,,,,,,,,,,,,
abject,adj,low,"heanly (<OE heanlic), downcast (Barnes)",heanly ,<OE heanlic), downcast ,Barnes),,,,,,,,,,,,,,,,,,,,,,
abjure,vb,"forswear, take back, unsay, withdraw","swear off (cf. NHG abschwören), aftercwethe",swear off ,cf. NHG abschwören), aftercwethe,,,,,,,,,,,,,,,,,,,,,,,
ablactate,vb,wean,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,n,"offtaking, offferrying",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,adj,-,"atbraidingly, shiftfall (<Ic. skiftafall)",atbraidingly, shiftfall ,<Ic. skiftafall),,,,,,,,,,,,,,,,,,,,,,,
ablaut,n,-,offlloud,offlloud,,,,,,,,,,,,,,,,,,,,,,,,,
able,adj,"fit, skilled","dow, stand (cf. Dn, Nw, NHG)",dow, stand ,cf. Dn, Nw, NHG),,,,,,,,,,,,,,,,,,,,,
-able,suffix,"-worthy, -some, -bearing, -ly","-endly/-ingly, -cannish, -canny\n-worth (<OE -wierþe)\n-ber (cf. OE -bære, Fr. -ber, NHG -bar)",-endly/-ingly, -cannish, -canny\n-worth ,<OE -wierþe)\n-ber ,cf. OE -bære, Fr. -ber, NHG -bar),,,,,,,,,,,,,,,,,,,
able to,phr,"can, may, to be canny enough, to be cunning enough, up to","dow to, skilled to",dow to, skilled to,,,,,,,,,,,,,,,,,,,,,,,,
ablution,n,"washing, cleansing",furbing,furbing,,,,,,,,,,,,,,,,,,,,,,,,,
abnegate,vb,"forgo, forswear",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abnormal,adj,"amiss, unwonted, odd","unmean, unshapely (Barnes)",unmean, unshapely ,Barnes),,,,,,,,,,,,,,,,,,,,,,,
abolish,vb,"black out, stamp out, sweep away, wipe out","fordo, forend, adiley (<OE ādīlegian)\noffship (cf. NHG abschaffen)",fordo, forend, adiley ,<OE ādīlegian)\noffship ,cf. NHG abschaffen),,,,,,,,,,,,,,,,,,,,,
abominable,adj,"aweful, dreadful, evil, loathsome, sickening","shandful (<OE scandful, cf. NGH/Du. schandvoll), slithely, besmearful, wargedly (<OE)",shandful ,<OE scandful, cf. NGH/Du. schandvoll), slithely, besmearful, wargedly ,<OE),,,,,,,,,,,,,,,,,,,
aboriginal,adj,inborn,"orfolkish, orfolkly firstfolkish (see or- )",orfolkish, orfolkly firstfolkish ,see or- ),,,,,,,,,,,,,,,,,,,,,,,
aborigine,n,-,orfolk (OE or 'origin') firstfolk (see or- ),orfolk ,OE or 'origin') firstfolk ,see or- ),,,,,,,,,,,,,,,,,,,,,,,
abort,vb,"lay off, call off, end",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abortion,n,misbirth,"forbirthing, awaywarpness (<OE)",forbirthing, awaywarpness ,<OE),,,,,,,,,,,,,,,,,,,,,,,
abound,vb,"brim, teem, overflow",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abrasion,n,"graze, scrape",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abridge,vb,"cut back, forshorten, cut",littlen (<OE),littlen ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
abrupt,adj,"quick, fast, steep",shorn (<OE scoren),shorn ,<OE scoren),,,,,,,,,,,,,,,,,,,,,,,,
abscess,n,swelling,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abscond,vb,"break out, run off, steal away",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
absence,n,"time off, lack, needfulness, want; dearth",offwardness (<OE),offwardness ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
absent,adj,"missing, wanting, out",offward (<OE),offward ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
absenteeism,n,-,offwardness,offwardness,,,,,,,,,,,,,,,,,,,,,,,,,
absent-mindedness,n,"daydreaming, flighty, thoughtless, unheeding, unmindful, woolgathering",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
absinthe,n,wormwood,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
absolute,adj,"outright, utter, full, rank, checkless (Barnes)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
absolutely,adv,"fully, wholly, dead",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
absolve,vb,forgive,offloosen (Barnes),offloosen ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
absorb,vb,"drink, soak up, suck up, take up; grip; burn, drain, draw down, play out","bedrink (<OE bedrincan)up-soak, forsoak (Barnes)",bedrink ,<OE bedrincan)up-soak, forsoak ,Barnes),,,,,,,,,,,,,,,,,,,,,,
abstain (from),vb,"forbear (Barnes), foregowithhold, hold back\nswear off",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abstinence,n,-,"forbearing, forhaveness (<OE forhæfnes)",forbearing, forhaveness ,<OE forhæfnes),,,,,,,,,,,,,,,,,,,,,,,
abstract,n,"withdrawal, outline","outpulling, outdraught, offdrawal (abstraction)",outpulling, outdraught, offdrawal ,abstraction),,,,,,,,,,,,,,,,,,,,,,
abundance,n,"wealth, lot",fullsomeness (<OE),fullsomeness ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
abundant,adj,"teeming, swarming, overflowing, fulsome, rife, fat, thick, awash",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abuse,vb,"scathe, mishandle","hean (<OE hienan), smittle, misbrook",hean ,<OE hienan), smittle, misbrook,,,,,,,,,,,,,,,,,,,,,,
abysmal,adj,"1. hellish, hopeless, dreadful2. fathomless, bottomless","netherly, unfathomly",netherly, unfathomly,,,,,,,,,,,,,,,,,,,,,,,,
